Address,seller_link 1,seller_level 1,rating_score 1,ratings_count 1,orders_in_queue 1,collect_count 1,title_1,description_content 1,metadata_1,one_liner_1,user_stats_from_1,user_stats_member_since_1,user_stats_response_time_1,user_stats_last_delivery,seller_desc_expanded_1,package1_title_1,package1_type_1,package1_price_1,package1_desc_1,package2_title_1,package2_type_1,package2_price_1,package2_desc_1,package3_title_1,package3_type_1,package3_price_1,package3_desc_1,faq1_q_1,faq1_a_1,faq2_q_1,faq2_a_1,faq3_q_1,faq3_a_1,faq4_q_1,faq4_a_1,review1_desc_1,review2_desc_1,review3-desc 1,review1_rating_1,review2_rating_1,review3_rating_1,category_1
https://www.fiverr.com/westcoastwp/design-and-build-a-responsive-high-performing-website,westcoastwp,Level 2 Seller,5,8,,141,I will create a high converting website in webflow,"Need a professional high converting website for your business?Send us a message to get started.You can expect:Competitive researchUI & prototypingResponsive website built in WebflowSEO-friendly, secure, easy to manageExcellent communication & collaboration100% satisfaction guaranteeWho are we?We are a small and mighty team based in Los Angeles with 20 years international experience in product & web design, consultancy, and strategy. Working across multiple disciplines we deliver bespoke online experiences to brands of all sizes. Our collaborative approach allows us to produce tailored solutions for any kind of client around the world.Why choose us?Fledgling startup to established brand, we've got you covered! From budding small businesses to some of the world’s most valuable brands, our customers value our beautiful, simple designs and seamless, delightful user experiences.Our processRequirements - we discuss your needsDesign & Build - everything takes formFinalize - revision timeLaunch - bask in the glory of your new website!Featured inThe GuardianThe TimesBBC NewsThanks for stopping by! Feel free to contact us to discuss your needs.","<li class=""metadata-attribute""><p>Platform</p><ul><li>Webflow</li></ul></li><li class=""metadata-attribute""><p>Specialization</p><ul><li>Blog</li><li>Business</li><li>Education</li><li>Portfolio</li><li>Non-profit</li><li>Forms</li><li>SaaS</li><li>Portal</li></ul></li><li class=""metadata-attribute""><p>Supported plugin types</p><ul><li>Marketing</li><li>Payment</li><li>Forum</li><li>Social Media</li><li>Customer Support</li><li>Shipping</li><li>Inventory</li><li>Analytics</li><li>Video</li><li>Form</li><li>Events</li><li>Music</li><li>Chat </li><li>Membership</li><li>Map</li><li>FAQ</li><li>Gallery</li></ul></li>","Finerfox Media, an independent digital agency based in Los Angeles",,,,,,STARTUP,Basic,1732.00,"Professional single page site, up to 6 sections",ESTABLISHED,Standard,4329.00,Professional 5 page site - CMS - 1 plugin,INDUSTRY LEADER,Premium,6926.00,Professional 10 page site - CMS - ecommerce - 1 plugin,,,,,,,,,"Finerfox Media is hands down the best dev team I've had the pleasure of working with. This project sprung up quickly, but their team was cool and calm and ready to take it on. I've already asked if they'd be willing to take on other work and can't wait for the next opportunity to work with them!",Very professional.,Item as delivered as described.,5,5,5,
https://www.fiverr.com/yaseensaleem/design-customize-and-optimize-wix-websites,yaseensaleem,Level 1 Seller,4.9,75,5,65,"I will design, customize and optimize wix websites","WIX is a great platform for online presence of your business and it is also great for personal portfolios,
blogs and community websites. And with my intensive expertise in website design
and development you will get an end result which will promote your brand very
effectively and you will stand out above your competition.

Under the umbrella of this gig I provide services like:WIX Custom Website Design and DevelopmentWIX Design ChangesWIX E-commerce WebsiteResponsive DesignWIX CodeLanding PagesSearch Engine Optimization (SEO)Google AnalyticsPlease message me first before placing the order to check my availability.And this way I will be able to give you better quote for the custom order. But the price would be reasonable.Also feel free to contact me to discuss your ideas about the websites.","<li class=""metadata-attribute""><p>Platform</p><ul><li>Wix</li></ul></li><li class=""metadata-attribute""><p>Specialization</p><ul><li>Blog</li><li>Business</li><li>Education</li><li>Portfolio</li><li>Entertainment</li><li>Non-profit</li><li>Wedding</li></ul></li><li class=""metadata-attribute""><p>Supported plugin types</p><ul><li>Payment</li><li>Forum</li><li>Social Media</li><li>Customer Support</li><li>Inventory</li><li>Analytics</li><li>Video</li><li>Form</li><li>Events</li><li>Chat </li><li>Membership</li><li>Map</li><li>FAQ</li><li>Gallery</li></ul></li>",Web designer and developer,Pakistan,01/2016,2,24,"Hello there! First I would like to introduce myself. I am Yaseen Saleem and I am from Pakistan. Taking web development and designing as a profession not only fulfills my pocket but also my heart because it has been my passion since my early teenage.

I believe that people should do things in which they are good at or in which their heart lays. That’s why I chose freelance web development and designing as my career because I believe I’m good at this and I am always honest and never afraid of doing hard work.",Basic Package,Basic,17.31,This package includes designing or customization of a website with 3-4 sections/pages.,Standard Package,Standard,43.28,This package includes designing or customization and SEO of a website with 5-6 pages.,Premium Package,Premium,86.57,This package includes the designing or customization of e-commerce website with SEO.,,,,,,,,,"Yasseen got my site done, but not only did he get my site done he did what 10 other people on this site said was not possible with wix. Wix is my goto choice for ease of use all the other sellers want to give you a pretty site with basic function the whole point of wix is any idiot can do this me include! Yasseen put complicated functions I don't understand &amp; 10 other ""wix specialists"" could not do into my site and this is why I can not recommend him highly enough this is the point of this site specialists all the pro and level 2 sellers failed at what he did easily. I just arranged my 2nd order with him &amp; will be using him in the future good people are hard to find.","We ran into a few technical difficulties with the project, but Yaseen was very communicative throughout and did not complete the project until it was 100% up to spec. He was lovely to work with, and even though the project took a little longer than planned, he was able to get the site to work exactly how I wanted it to and was quick and flexible to finding a solution. Would highly recommend him!","Great work, provided additional insights and updated the work as requested after initial draft. Took a little longer with communication &amp; first draft in the beginning but overall was still a good experience. Would use his services again.",5,4.3,4.7,Full Website Creation
https://www.fiverr.com/yougeen/build-you-a-membership-funnel-in-clickfunnels,yougeen,Level 2 Seller,5,41,,88,I will build you a funnel in clickfunnels,"I'll build and setup a Clickfunnels website for you with a design based on your requirements. No matter if you want a Lead Magnet funnel or a membership funnel, I can do this for you. I can help you with the following Clickfunnels tasks: Landing / Squeeze / Opt-in funnel pages Clickfunnels sales pages / sales funnel using Membership Funnel using Clickfunnels Webinar Registration Email Autoresponder integration with double optin process Clickfunnels payment integration (Paypal, Stripe, etc.) with sales pages Thank You Pages Download Pages Custom Domain Setup And much more... (just write me your requirements) PLEASE CONTACT ME WITH YOUR REQUIREMENTS BEFORE PLACING AN ORDER Contact me now and lets see what I can do for you. + See More Platform SiteBuilder Specialization Business Supported plugin types Marketing Payment Membership",,"professional, reliable and customer oriented",Germany,02/2015,2,504,,Clickfunnels Opt-in / Lead  Page,Basic,82.24,1 Lead Page with Opt-in Form and Thank you Page,Clickfunnels Sales Funnel,Standard,212.09,Build Sales page with product integration,Clickfunnels Sales + Member Funnel,Premium,298.66,Build Sales page with a member area,Do I need a Clickfunnels subscription for this gig?,"Yes, you need your own Clickfunnels account. If you don't have one yet, just let me know and I can help you.",I don't have any sale copy. Can you help me with that?,"I don't write any sale copy, please provide me all your copies for the website.",How will I receive my funnel?,"I will create the funnel in your Clickfunnels account, right after I'm done with my work, you can start using it.",,,"Eugen is a great guy and super engaged. He is not only doing the job better than expected, he truly takes care of the whole process. I like it when people do not talk about why it's not going to work, instead he always comes with a solution. Absolutely great. Thank you.",Yougeen helped me a lot with my existing funnel in clickfunnels. He is my hero of the day :-) Thank you for your commitment,Sehr unkompliziert und entgegenkommend,5,5,5,Full Website Creation
https://www.fiverr.com/zenntech/create-professional-website-on-wix-wordpress-shopify-with-responsive-design,zenntech,Level 2 Seller,5,56,5,92,"I will develop optimized website on wordpress,shopify, wix with responsiveness","Hi, Fiverr Fans!I am Ramish! Thank You for being here. I specialize in Full Stack Development and Web Design with over 3+ years of experience. I am the Founder & CEO of ZennTech i.e. is a team of talented designers, developers, and writers working together for your complete satisfaction.If you are a business specialist or are thinking at the stage of starting another business, don't restrict yourself to a small market and become part of one the best marketplaces. With this gig, you can get your online web-site today on Shopify, WordPress or Wix.Services: Complete Website DevelopmentWordPress DesignRedesign / modify current web-siteECommerce StoreLanding Page siteWix websitePSD to WordPressShopify Online StoreShopify CustomizationGoogle and Facebook AnalyticsPayment Integration If you need a Shopify Online Store, a WordPress website, a Wix website design, or you have some custom website creation project, Then you are at the exact place you should be. So feel free to contact me before placing your order.Let's Get Started!:)","<li class=""metadata-attribute""><p>Platform</p><ul><li>Wix</li></ul></li><li class=""metadata-attribute""><p>Specialization</p><ul><li>Blog</li><li>Business</li><li>Education</li><li>Portfolio</li><li>Entertainment</li><li>Non-profit</li><li>Wedding</li><li>Podcasting</li><li>Online Communities</li><li>Forms</li><li>Crowdfunding</li><li>Wiki /Knowledge</li><li>SaaS</li><li>Job Board</li><li>Portal</li><li>Brochure</li></ul></li><li class=""metadata-attribute""><p>Supported plugin types</p><ul><li>Marketing</li><li>Payment</li><li>Forum</li><li>Social Media</li><li>Customer Support</li><li>Shipping</li><li>Inventory</li><li>Analytics</li><li>Video</li><li>Form</li><li>Events</li><li>Music</li><li>Chat </li><li>Membership</li><li>Map</li><li>FAQ</li><li>Gallery</li></ul></li>","Expert in WordPress, Wix, Shopify",Pakistan,09/2020,1,48,"Hello. I'm Ramish Ch the Founder & CEO of ZennTech which is a team of professional designers, developers, animators and writers working together to take IT to the next level. From design to development, we can can handle it all for you.  We provide services related to Web Development on all platforms including WordPress, Wix,Shopify. 
We also provide Custom Coded websites.",BASIC,Basic,86.57,One Page Website/Landing Page Development,STANDARD,Standard,324.63,"Professional Website on WordPress, Wix or Shopify upto 5 pages development



",PREMIUM,Premium,627.61,"Complete/Ecommerce Website on Wix, WordPress or Shopify upto 10 pages development",How much time is required for develpment of complete website?,"Once we have got all our requirements i.e the content including text and images, it should take 2 - 10 days for us to design and build a website for you. This may vary for complex projects. Feel free to discuss if you want to know anything about the website development",Is our Websites reponsive?,"Yes, we develop responsive Websites which are friendly to all devices i.e mobile, desktop, tab, etc",Which platform is best for website development?,"Well, the answer to this question is quite flexible. It depends upon the nature of the website you want. Feel free to message me I will analyze you requirements and brief you on whats platform is best according to your requirements.",,,"Amazing customer service, was sure to communicate and get the needs of the business plus more. Would highly recommended, without a doubt the best website developer we could have asked for.",Great communication! Ramish also looked at project scope before we started to make sure it can be done. Great suggestions and help throughout.,"Very easy to work with and helped explain what to do, provided good starting information with the quote and then delivered the job good quality on and on time.",5,5,5,Full Website Creation
https://www.fiverr.com/wix_mentor/design-and-redesign-wix-website-professionally,wix_mentor,Level 2 Seller,5,95,4,279,I will design wix website and redesign business wix website," Hello,I am Wix mentor are you looking for someone who can Design Wix website and if you have already a Wix website and want to redesign Wix website don’t worry I am here to assist you I will design Wix website according to your vision.I have 3+ years of experience in Wix site designing and have designed 100+ sites successfully.This gig includes(Why you choose me)Responsive Wix website design.Recreate the Wix site.E-commerce functionality.Elegant and eye-catching design.Fully optimized.FREE customer support.Unlimited revisions.Free negotiation and images speed optimization. I can work with:Blog, corporate site, online store, Music coaching site, portfolio, farming site, and many more. I AM ALSO OFFERING CUSTOME OFFERSI will be guaranteed you I will make your Wix site according to your desire. If you still have any questions don’t hesitate and contact me in my inbox.PLEASE CONTACT ME BEFORE PLACING THE ORDER","<li class=""metadata-attribute""><p>Platform</p><ul><li>Wix</li></ul></li><li class=""metadata-attribute""><p>Specialization</p><ul><li>Blog</li><li>Business</li><li>Education</li><li>Portfolio</li><li>Entertainment</li><li>Non-profit</li><li>Wedding</li><li>Podcasting</li><li>Forms</li><li>Crowdfunding</li><li>Wiki /Knowledge</li><li>SaaS</li><li>Job Board</li><li>Portal</li><li>Brochure</li></ul></li><li class=""metadata-attribute""><p>Supported plugin types</p><ul><li>Marketing</li><li>Payment</li><li>Forum</li><li>Social Media</li><li>Customer Support</li><li>Shipping</li><li>Analytics</li><li>Video</li><li>Form</li><li>Events</li><li>Chat </li><li>Membership</li><li>Map</li><li>FAQ</li><li>Gallery</li></ul></li>","without problems, we would not grow",Pakistan,05/2020,1,2,"Hi, My name is Umer, but I love to be called Wix Mentor! I am a professional Wix website designer, Graphic Designer, and SEO specialist having 3+ years of extensive experience. I can design and develop sophisticated, stunning, accommodating, responsive, and SEO-friendly Wix websites. I will create a professional business, blogs, e-commerce, landing pages, real estate, services. jobs &employment, fitness, food restaurants, shopping sites and many more. There is nothing we can’t do.
Thanks",CONTACT ME BEFORE PLACING THE ORDER,Basic,17.31,Responsive wix website design/redesign+ONE page+free support +unlimited revisions,CONTACT ME BEFORE PLACING THE ORDR.,Standard,77.91,Responsive wix website design/redesign+FIVE page+free support +unlimited revisions,.CONTACT ME BEFORE PLACING THE ORDR,Premium,129.85,Responsive wix website design/redesign+TEN page+free VIP support +unlimited revisions+VIDEO GUIDE,What information is required before starting the work?,"Menu pages names, logo, Share website example links, images, and description (Don’t worry about images if you don’t have any images I can use locality free images from unsplash.com).",Do you design the Wix website from scratch?,"Yes, if you don’t like any template I will design it from starch.",what you give support after project completion?,"Yes, I will give seven days of free support after the completion of work.",Wix vs Wordpress?,We can’t compare Wix vs Wordpress both CMS have their functionalities and features but the main difference is that wix.com provides hosting,@wix_mentor was really the best website designer ever ! This was my first time creating a website so I knew it would be very difficult but wix mentor made the process so easy! They were very willing to help make any changes I wasn’t sure about with no complaints! Definitely will work with him again !,"Thank you so much to the Wix Mentor as they had made my website fully functional for my business, went over and beyond to help, even after the service ended! I am so grateful to have chosen this Seller!!",wix_mentor was outstanding. It was a pleasure working with this professional. Always responsive and addressed my concerns/questions in a timely manner. I look forward to hiring wix_mentor for more projects in the future. This was the first time I ever had a website built and wix_mentor was patient and guided me through the process.,5,5,5,Full Website Creation
https://www.fiverr.com/webgeek_pro/design-customize-and-fix-your-blogger-template,webgeek_pro,Level 2 Seller,5,303,,443,"I will design, customize and fix your blogger template","Hi everyone!If you want to Design, Customize or Fix any issue related to Blogger website, then you're on right Gig. I am perfect person for all your Blogger related issues. I have 3+ years of experience in Template Development, Bug Fixing, Design, Redesign services & have worked on 100's of websites of several niches.MY SERVICES✔️ Create custom Template from scratch✔️ Design customization✔️ Fix all bugs✔️ Responsive Layout✔️ SEO friendly✔️ Setup custom Domain✔️ Setup Google Adsense✔️ Add all meta tags✔️ Social plugins✔️ Make your site like Demo✔️ Sitemap, Site Crawling & Indexing on Googleand so much more...WHY MEI will provide Video Tutorials to guide you100% Satisfaction with multiple revisionsFast Delivery & Quality workFull Support & ConsultancyFast Response TimeWHAT I NEED FROM YOUI need access to your blog, you can give me access in two ways:Make me AdminGive me your Blogger account Login detailsPlease, contact me first before you order a Gig, Thank You!If my Gig prices are out of your budget, then feel friendly to inbox me with your work details to negotiate.Standard & Premium packages include Unlimited Revisions","<li class=""metadata-attribute""><p>Platform</p><ul><li>Blogger</li></ul></li><li class=""metadata-attribute""><p>Specialization</p><ul><li>Blog</li><li>Business</li><li>Education</li><li>Portfolio</li><li>Entertainment</li><li>Non-profit</li><li>Wedding</li></ul></li><li class=""metadata-attribute""><p>Supported plugin types</p><ul><li>Social Media</li><li>Analytics</li><li>Form</li><li>Chat </li><li>FAQ</li><li>Gallery</li></ul></li>",A self starter who loves to code Web,Pakistan,02/2019,1,3,"Energetic Freelance Web developer, self-starter who loves to code Web. Goal-focused with high UI/UX design & coding skills.

I offer services related to Web Development, Bug Fixing, Design & Redesign websites/blogs on  Blogger® , Wordpress® and Wix® platforms!

Inquire for a project now!",Small Fixing or Customization,Basic,8.66,1 Bug Fix or 1 Customization,Complete Fixing or Customization,Standard,43.28,Fix ALL Bugs or Do ALL Customizations,Custom Blogger Template,Premium,86.57,"Create a theme from scratch , Custom layout , Responsive & SEO friendly , 7 days support",,,,,,,,,The seller went above and beyond. Sorted out so many more issues than I had paid for. Service was quick and professional. I will definitely be coming back here for more work. Highly recommended!,Utterly brilliant - super quick Best experience so far and really hope to work with you again. Take care Christi,"Seller was willing to work with specific issues and troubleshooting. The gig was done on a fast pace. Overall, satisfied.",5,5,4.7,Full Website Creation
https://www.fiverr.com/syscompt/build-responsive-wordpress-website,syscompt,Level 2 Seller,5,32,,68,I will build responsive wordpress website design,"*Welcome to Responsive WordPress website Design Gig* We are web designers and developers with 6+ years of experience in developing attractive and responsive WordPress website design for a number of categories including Business, Education, Fashion, Blog, Real Estate, Information Technology Services and Ecommerce Stores. We also revamp / redesign outdated HTML website or web design into professional, eye catchy and responsive WordPress website. We will provide: Professional and Responsive WordPress Website Design Social Media Integration Mailing Lists Integration (i.e. MailChimp and AWeber etc) Easy to use Admin Panel SEO Ready Speed Optimized Security Optimized Why Choose Us: Professional & Reliable Work as per your requirements Responsive / Mobile Friendly Design Web Development with Best Security practices Fast and accurate Delivery Please feel free to Place your order now. If you have any question, please consult FAQ section below or feel free to contact us before placing an order. + See More Platform SiteBuilder Specialization Blog Business Education Portfolio Entertainment Non-profit Wedding Podcasting Online Communities Forms Wiki /Knowledge Job Board Portal Brochure Supported plugin types Marketing Payment Forum Social Media Customer Support Shipping Inventory Analytics Video Form Events Music Chat Membership Map FAQ Gallery",,Committed to deliver reliable and Professional Service,Pakistan,03/2020,1,336,,Starter Package,Basic,216.42,Basic one pager or 1 to 3 page Responsive WordPress website Design.,Standard Package,Standard,302.98,4 to 6 Page standard Responsive WordPress website Design with blog functionality.,Professional Package,Premium,389.55,Professional 6 to 10 Page Responsive WordPress website Design or WordPress Ecommerce Store.,,,,,,,,,"Thank you very much! You did a great job and have built a super cool, modern website! I will definitely come back soon! :D",Syscompt took the lead and exceeded our expectations. We are so pleased with their work!,Very good experience working with Seller and will be using again for sure,5,5,5,Full Website Creation
https://www.fiverr.com/stixgraphics/design-your-amazing-wix-website,stixgraphics,Level 2 Seller,5,74,2,243,I will design your amazing wix website,"Hey, I'm Stefano, I'm a professional Web Designer with years of experience! I'm here to help you out with the WebSite you need for your professional and/or personal use with WIX!MY SERVICES:WIX Website Design, (A NEW DESIGN FROM SCRATCH, DESIGNED SUITE ONLY FOR YOUR SITE ) ;WIX Re-Design | Broken Site Fixing | Errors, Bugs Fixing;E-Commerce WIX Stores | WIX SHOP;Graphic Design;Wix SEO | Web Marketing (ON REQUEST) | Website Ranking (ON REQUEST);WIX App Installation; Social Media Posts & Account Management (ON REQUEST);Graphic Design (ON REQUEST);24/7 Help.Thank you, Now Let's Get started with your next Amazing WebSite!","<li class=""metadata-attribute""><p>Platform</p><ul><li>Wix</li></ul></li><li class=""metadata-attribute""><p>Specialization</p><ul><li>Blog</li><li>Business</li><li>Education</li><li>Portfolio</li><li>Entertainment</li><li>Online Communities</li><li>Forms</li><li>Portal</li></ul></li><li class=""metadata-attribute""><p>Supported plugin types</p><ul><li>Payment</li><li>Social Media</li><li>Analytics</li><li>Video</li><li>Form</li><li>Events</li><li>Music</li><li>Chat </li><li>Membership</li><li>Map</li><li>FAQ</li><li>Gallery</li></ul></li>",Stefano Castro,Italy,08/2020,3,8,"Hi, everybody! My name is Stefano Castro, and I am a expert WebDesigner with over 5 years of experience. I've been passionate in create amazing website for anytype of business, especially in Ecommerce Stores with Shopify and Wix Platforms. 
What I love is bring businesses to the next level giving a boost thanks to eye catching and amazing functionality website design, satisfying and overcoming the expectation of my clients!",LITE PLAN,Basic,34.63,"CONTACT BEFORE

Design & Re-Design 1 Pages. Fixing Errors. (Shop | Store - NOT INCLUDED) 24|7 Help.",BUSINESS PLAN,Standard,129.85,"CONTACT BEFORE

5 Pages, Booking, Mobile/Tab, (Shop | Store - NOT INCLUDED) 24|7 Help",PREMIUM PLAN,Premium,199.10,"CONTACT BEFORE

10 Pages, Shop-10 Products/Bookings, Custom Website Graphics, 24|7 Help",Do you need my WIX Account Login Details '?,"Yes, please Share your '' WIX Account - Login Details '' (Please Don't Use The Google Login, Use a Separate Mail Address & a Password )
In this way, I will be able to work on it directly. If you don't have a Wix Account, please register one, it is free and then share with me the details.",Can you connect domain with my wix website?,"Yes, I will connect your domain with your Wix Website, so you don't have to worry about that.","Can you help understand, after complete this order, on how Wix Website works?","Yes, I will help you after complete the order, in order that you can also manage information and products.",What does your SEO (search engine optimization) work include?,"My SEO work includes writing all page titles, descriptions, and keywords for each page, and then completing the Wix SEO Wizard Report. I cannot guarantee launching your site to the top of Google, or anything with regards to where your site appears on search engine page results.",Sixgraphics made my site come to life. Communication was great. He said 8 days but it took only 1. I would recommend it to anyone who needs a website!!,"Stefano is an excellent professional. His replies are thorough, which perfectly matches his commitment. We set together clear goals, priorities and expectations about the creation of my personal website and he exceeded all of them. No doubts that I will ask him to collaborate again. I recommend him with no hesitation whatsoever. I promise you, you are in good hands!","stefano is great to work with, and i would definitely recommend working with him. he takes all the feedback into account and brings great ideas and website expertise to the overall experience. we will definitely go back to him for all of our website needs. thank you stefano!",5,5,5,Full Website Creation
https://www.fiverr.com/techprofessionl/build-a-professional-wix-website-by-using-sdlc-model,techprofessionl,Level 2 Seller,5,28,,29,"I will build a professional wix website by corvid , velo custom coding","I will make creative, attractive and responsive website, which will make your business on next level and make you competitive in your market place.I'm a wix programmer.If you want to update your current wix site I will also do it. *******Contact Me Before Order******* Here are the services I will provide you in this gig Advance Theme development Corvid API integration Mobile responsive site Google API integration ( google maps) protecting site security by adding recaptcha Events responsive app install and customization Plugin installation Advanced UI update Full back end (database) support database designing and development forms designing automate site functionality by job scheduling On page advanced SEO E-commerce fully functional site not only the basic features but also the advanced features including gallery maps and associate blog too Create API for site Data Collections Discuss before order I will not add those functionality which is not supported by Wix. Thanks Regards Saba + See More Platform Wix Specialization Blog Business Education Portfolio Entertainment Non-profit Wedding Podcasting Online Communities Forms Wiki /Knowledge Job Board Portal Brochure Supported plugin types Marketing Payment Forum Social Media Customer Support Shipping Inventory Analytics Video Form Events Music Chat Membership Map FAQ Gallery",,Our goal is quality work,Pakistan,02/2020,2,48,,Small  wix website project,Basic,34.63,A small site with all advanced and basic functionalities according to your demand,Medium wix website project,Standard,86.57,A medium size wix site with all advanced and basic functionalities according to your demand,Big wix website project,Premium,259.70,A big size wix site with all advanced and basic functionalities according to your demand,How can I check the updates of my website ?,I will provide you a link from where you can check day to day updates.,Your Package does not match with my website requirements?,Message me and describe about your requirements.I will make custom offer for you.,Why you not add the paid theme?,I will design and customized available theme and  do it so creatively that Its looks like a new theme.I will not add any paid theme or any paid plugin on wix. But I will help you in doing so.,"I have my own domain register,I want to host that site on my domain?","You can add wix site on your domain easily.When you login on wix, Wix will show you a option from where you can enter your domain and it will be hosted on your domain.","Techprofessionl did a great job creating a database on Wix, from an excel spreadsheet. She understood the scope of the work very clearly and delivered her work on time and on budget. Very good work quality, the database looks exactly like I wanted. In particular, her communication and explanations around how to use the database and follow through on the project was excellent. This was my first try at using a Fiverr freelancer, and I am completely amazed.","Amazing job, great experience. techprofessionl was very fast and professional. The result looked amazing and will definitely be a repeat customer. Outstanding work, great seller.",Very good work!,5,5,5,Full Website Creation
https://www.fiverr.com/sharifshimanta/design-redesign-or-update-a-responsive-squarespace-website,sharifshimanta,Level 2 Seller,5,154,,273,"I will design, redesign or update responsive squarespace websites","Hello there! Are you looking for a responsive Squarespace Website?If yes, then you have peeked on the right Gig. I am offering Squarespace Website Design for your Business, Blog, Non-profit Organization or Portfolio.Why Me?I have designed 250+ Squarespace Websites with 100% positive ratingsMobile friendly website design7 days a week availabilityI provide Basic Template edit to Premium & Elegant Website Design. As a result, you are very welcome to share your budget too.If you are interested on my Gig, feel free to knock me to have a discussion on the project. Your Web Designer is always here, ready for you.Best RegardsSharif","<li class=""metadata-attribute""><p>Platform</p><ul><li>Squarespace</li></ul></li><li class=""metadata-attribute""><p>Specialization</p><ul><li>Blog</li><li>Business</li><li>Education</li><li>Portfolio</li><li>Entertainment</li><li>Non-profit</li><li>Wedding</li><li>Podcasting</li><li>Online Communities</li><li>Forms</li><li>Crowdfunding</li><li>Wiki /Knowledge</li><li>SaaS</li><li>Job Board</li><li>Portal</li><li>Brochure</li></ul></li><li class=""metadata-attribute""><p>Supported plugin types</p><ul><li>Marketing</li><li>Payment</li><li>Forum</li><li>Social Media</li><li>Customer Support</li><li>Shipping</li><li>Inventory</li><li>Analytics</li><li>Video</li><li>Form</li><li>Events</li><li>Music</li><li>Chat </li><li>Membership</li><li>Map</li><li>FAQ</li></ul></li>",Coding is my Heart and Working with businesses is my addiction,Bangladesh,01/2019,1,96,"I am a professional Web Designer  with proficiency in jQuery and JavaScripts. I have been working on WordPress and Squarespace for 5 years. I love perfection and client satisfaction is my main Motto. I am available for 7 days a week. From the beginning of my career, my goal is straight ; ""I want to be a reason of changing"". That means ,One day something will change because of me. I love to learn and search for anything and everything  on the Web.
Cheers 
Sharif",BASIC PACK,Basic,129.85,3 page responsive website design,STANDARD PACK,Standard,216.42,Maximum 5 pages responsive website design perfect for small businesses,GOLD PACK,Premium,476.12,Maximum 10 pages High end responsive website design with speed optimization and onsite SEO,,,,,,,,,"Sharif was absolutely fantastic! Very quick service, answered all my questions and was able to accommodate every request I had. I could not recommend his services enough and will be sure to use him again in the future!","Sharif work is amazing, he went above and beyond and even made some valuable recommendations on how to make the website more simple. I will be using his services again. Thanks",Sharif is incredible! So responsive and he knows what he's doing. He's like a whole tech dept for my small little start-up company.,5,5,5,Full Website Creation
